Benchmarks	system.cpu.cpi	system.cpu_clk_domain.clock	sim_seconds	host_seconds	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm	3.493415	500	0.174671	889.15		0.060972	0.000094	0.999944
speclibm_0	2.650301	1000	0.265030	914.84		0.062149	0.000097	0.973909
speclibm_1	2.640650	1000	0.264065	930.49		0.061560	0.000122	0.986946
speclibm_2	2.640541	1000	0.264054	916.66		0.061561	0.000122	0.986346
speclibm_3	2.631263	1000	0.263126	886.97		0.060971	0.000088	0.999967
speclibm_4	1.990438	1000	0.199044	893.62		0.030487	0.000090	0.999925
speclibm_5	2.624433	1000	0.262443	919.18		0.060971	0.000088	0.999968
speclibm_6	1.989116	1000	0.198912	887.82		0.030487	0.000090	0.999925
speclibm_7	1.653862	1000	0.165386	870.14		0.015244	0.000090	0.999844
speclibm_9	1.491601	1000	0.149160	860.73		0.007623	0.000088	0.999635
